TH1,SH10,1.5,BD,2,3.2
TH1,SH10,2,BD,2,4.2
TH2,SH10,0.25,BD,2,2.8
TH2,SH10,0.5,BD,2,3.7
TH2,SH10,1,BD,2,4
TH2,SH10,1.5,BD,2,4.5
TH2,SH10,2,BD,2,5.5
T1,SH10,0.25,BD,2,2.5
T1,SH10,0.5,BD,2,3
T1,SH10,1,BD,2,3.5
T1,SH10,1.5,BD,2,4
T1,SH10,2,BD,2,4.5
TH1,SH10,0.25,BD,2,2
TH1,SH10,0.5,BD,2,2.8
TH1,SH10,1,BD,2,3
TH1,SH10,1.5,BD,2,3.2
TH1,SH10,2,BD,2,4.2
TH2,SH10,0.25,BD,2,2.8
TH2,SH10,0.5,BD,2,3.7
TH2,SH10,1,BD,2,4
TH2,SH10,1.5,BD,2,4.5
TH2,SH10,2,BD,2,5.5
T1,SH10,0.25,BD,2,2.5
T1,SH10,0.5,BD,2,3
T1,SH10,1,BD,2,3.5
T1,SH10,1.5,BD,2,4
T1,SH10,2,BD,2,4.5
TH1,SH10,0.25,BD,2,2
TH1,SH10,0.5,BD,2,2.8
TH1,SH10,1,BD,2,3
TH1,SH10,1.5,BD,2,3.2
TH1,SH10,2,BD,2,4.2
TH2,SH10,0.25,BD,2,2.8
TH2,SH10,0.5,BD,2,3.7
TH2,SH10,1,BD,2,4
TH2,SH10,1.5,BD,2,4.5
TH2,SH10,2,BD,2,5.5
T1,SH10,0.25,CHR,2,2.5
T1,SH10,0.5,CHR,2,3
T1,SH10,1,CHR,2,3.5
T1,SH10,1.5,CHR,2,4
T1,SH10,2,CHR,2,4.5
TH1,SH10,0.25,CHR,2,2
TH1,SH10,0.5,CHR,2,2.8
TH1,SH10,1,CHR,2,3
TH1,SH10,1.5,CHR,2,3.2
TH1,SH10,2,CHR,2,4.2
TH2,SH10,0.25,CHR,2,2.8
TH2,SH10,0.5,CHR,2,3.7
TH2,SH10,1,CHR,2,4
TH2,SH10,1.5,CHR,2,4.5
TH2,SH10,2,CHR,2,5.5
T1,SH10,0.25,CHR,2,2.5
T1,SH10,0.5,CHR,2,3
T1,SH10,1,CHR,2,3.5
T1,SH10,1.5,CHR,2,4
T1,SH10,2,CHR,2,4.5
TH1,SH10,0.25,CHR,2,2
TH1,SH10,0.5,CHR,2,2.8
TH1,SH10,1,CHR,2,3
TH1,SH10,1.5,CHR,2,3.2
TH1,SH10,2,CHR,2,4.2
TH2,SH10,0.25,CHR,2,2.8
TH2,SH10,0.5,CHR,2,3.7
TH2,SH10,1,CHR,2,4
TH2,SH10,1.5,CHR,2,4.5
TH2,SH10,2,CHR,2,5.5
T1,SH10,0.25,CHR,2,2.5
T1,SH10,0.5,CHR,2,3
T1,SH10,1,CHR,2,3.5
T1,SH10,1.5,CHR,2,4
T1,SH10,2,CHR,2,4.5
TH1,SH10,0.25,CHR,2,2
TH1,SH10,0.5,CHR,2,2.8
TH1,SH10,1,CHR,2,3
TH1,SH10,1.5,CHR,2,3.2
TH1,SH10,2,CHR,2,4.2
TH2,SH10,0.25,CHR,2,2.8
TH2,SH10,0.5,CHR,2,3.7
TH2,SH10,1,CHR,2,4
TH2,SH10,1.5,CHR,2,4.5
TH2,SH10,2,CHR,2,5.5
T1,SH10,0.25,UP,2,2.5
T1,SH10,0.5,UP,2,3
T1,SH10,1,UP,2,3.5
T1,SH10,1.5,UP,2,4
T1,SH10,2,UP,2,4.5
TH1,SH10,0.25,UP,2,2
TH1,SH10,0.5,UP,2,2.8
TH1,SH10,1,UP,2,3
TH1,SH10,1.5,UP,2,3.2
TH1,SH10,2,UP,2,4.2
TH2,SH10,0.25,UP,2,2.8
TH2,SH10,0.5,UP,2,3.7
TH2,SH10,1,UP,2,4
TH2,SH10,1.5,UP,2,4.5
TH2,SH10,2,UP,2,5.5
T1,SH10,0.25,UP,2,2.5
T1,SH10,0.5,UP,2,3
T1,SH10,1,UP,2,3.5
T1,SH10,1.5,UP,2,4
T1,SH10,2,UP,2,4.5
TH1,SH10,0.25,UP,2,2
TH1,SH10,0.5,UP,2,2.8
TH1,SH10,1,UP,2,3
TH1,SH10,1.5,UP,2,3.2
TH1,SH10,2,UP,2,4.2
TH2,SH10,0.25,UP,2,2.8
TH2,SH10,0.5,UP,2,3.7
TH2,SH10,1,UP,2,4
TH2,SH10,1.5,UP,2,4.5
TH2,SH10,2,UP,2,5.5
T1,SH10,0.25,UP,2,2.5
T1,SH10,0.5,UP,2,3
T1,SH10,1,UP,2,3.5
T1,SH10,1.5,UP,2,4
T1,SH10,2,UP,2,4.5
TH1,SH10,0.25,UP,2,2
TH1,SH10,0.5,UP,2,2.8
TH1,SH10,1,UP,2,3
TH1,SH10,1.5,UP,2,3.2
TH1,SH10,2,UP,2,4.2
TH2,SH10,0.25,UP,2,2.8
TH2,SH10,0.5,UP,2,3.7
TH2,SH10,1,UP,2,4
TH2,SH10,1.5,UP,2,4.5
TH2,SH10,2,UP,2,5.5
T1,SH10,0.25,BD,2,3.5
T1,SH10,0.5,BD,2,4.1
T1,SH10,0.75,BD,2,4.1
T1,SH10,1,BD,2,4.1
T1,SH10,1.5,BD,2,4.5
T1,SH10,2,BD,2,5.1
TH1,SH10,0.25,BD,2,3
TH1,SH10,0.5,BD,2,3.5
TH1,SH10,0.75,BD,2,3.8
TH1,SH10,1,BD,2,4
TH1,SH10,1.5,BD,2,4.5
TH1,SH10,2,BD,2,5.2
TH2,SH10,0.25,BD,2,3.2
TH2,SH10,0.5,BD,2,4
TH2,SH10,0.75,BD,2,4.2
TH2,SH10,1,BD,2,4.5
TH2,SH10,1.5,BD,2,5.5
TH2,SH10,2,BD,2,6
T1,SH10,0.25,BD,2,3.5
T1,SH10,0.5,BD,2,4.1
T1,SH10,0.75,BD,2,4.1
T1,SH10,1,BD,2,4.1
T1,SH10,1.5,BD,2,4.5
T1,SH10,2,BD,2,5.1
TH1,SH10,0.25,BD,2,3
TH1,SH10,0.5,BD,2,3.5
TH1,SH10,0.75,BD,2,3.8
TH1,SH10,1,BD,2,4
TH1,SH10,1.5,BD,2,4.5
TH1,SH10,2,BD,2,5.2
TH2,SH10,0.25,BD,2,3.2
TH2,SH10,0.5,BD,2,4
TH2,SH10,0.75,BD,2,4.2
TH2,SH10,1,BD,2,4.5
TH2,SH10,1.5,BD,2,5.5
TH2,SH10,2,BD,2,6
T1,SH10,0.25,BD,2,3.5
T1,SH10,0.5,BD,2,4.1
T1,SH10,0.75,BD,2,4.1
T1,SH10,1,BD,2,4.1
T1,SH10,1.5,BD,2,4.5
T1,SH10,2,BD,2,5.1
TH1,SH10,0.25,BD,2,3
TH1,SH10,0.5,BD,2,3.5
TH1,SH10,0.75,BD,2,3.8
TH1,SH10,1,BD,2,4
TH1,SH10,1.5,BD,2,4.5
TH1,SH10,2,BD,2,5.2
TH2,SH10,0.25,BD,2,3.2
TH2,SH10,0.5,BD,2,4
TH2,SH10,0.75,BD,2,4.2
TH2,SH10,1,BD,2,4.5
TH2,SH10,1.5,BD,2,5.5
TH2,SH10,2,BD,2,6
T1,SH10,0.25,CHR,2,3.5
T1,SH10,0.5,CHR,2,4.1
T1,SH10,0.75,CHR,2,4.1
T1,SH10,1,CHR,2,4.1
T1,SH10,1.5,CHR,2,4.5
T1,SH10,2,CHR,2,5.1
TH1,SH10,0.25,CHR,2,3
TH1,SH10,0.5,CHR,2,3.5
TH1,SH10,0.75,CHR,2,3.8
TH1,SH10,1,CHR,2,4
TH1,SH10,1.5,CHR,2,4.5
TH1,SH10,2,CHR,2,5.2
TH2,SH10,0.25,CHR,2,3.2
TH2,SH10,0.5,CHR,2,4
TH2,SH10,0.75,CHR,2,4.2
TH2,SH10,1,CHR,2,4.5
TH2,SH10,1.5,CHR,2,5.5
TH2,SH10,2,CHR,2,6
T1,SH10,0.25,CHR,2,3.5
T1,SH10,0.5,CHR,2,4.1
T1,SH10,0.75,CHR,2,4.1
T1,SH10,1,CHR,2,4.1
T1,SH10,1.5,CHR,2,4.5
T1,SH10,2,CHR,2,5.1
TH1,SH10,0.25,CHR,2,3
TH1,SH10,0.5,CHR,2,3.5
TH1,SH10,0.75,CHR,2,3.8
TH1,SH10,1,CHR,2,4
TH1,SH10,1.5,CHR,2,4.5
TH1,SH10,2,CHR,2,5.2
TH2,SH10,0.25,CHR,2,3.2
TH2,SH10,0.5,CHR,2,4
TH2,SH10,0.75,CHR,2,4.2
TH2,SH10,1,CHR,2,4.5
TH2,SH10,1.5,CHR,2,5.5
TH2,SH10,2,CHR,2,6
T1,SH10,0.25,CHR,2,3.5
T1,SH10,0.5,CHR,2,4.1
T1,SH10,0.75,CHR,2,4.1
T1,SH10,1,CHR,2,4.1
T1,SH10,1.5,CHR,2,4.5
T1,SH10,2,CHR,2,5.1
TH1,SH10,0.25,CHR,2,3
TH1,SH10,0.5,CHR,2,3.5
TH1,SH10,0.75,CHR,2,3.8
TH1,SH10,1,CHR,2,4
TH1,SH10,1.5,CHR,2,4.5
TH1,SH10,2,CHR,2,5.2
TH2,SH10,0.25,CHR,2,3.2
TH2,SH10,0.5,CHR,2,4
TH2,SH10,0.75,CHR,2,4.2
TH2,SH10,1,CHR,2,4.5
TH2,SH10,1.5,CHR,2,5.5
TH2,SH10,2,CHR,2,6
T1,SH10,0.25,UP,2,3.5
T1,SH10,0.5,UP,2,4.1
T1,SH10,0.75,UP,2,4.1
T1,SH10,1,UP,2,4.1
T1,SH10,1.5,UP,2,4.5
T1,SH10,2,UP,2,5.1
TH1,SH10,0.25,UP,2,3
TH1,SH10,0.5,UP,2,3.5
TH1,SH10,0.75,UP,2,3.8
TH1,SH10,1,UP,2,4
TH1,SH10,1.5,UP,2,4.5
TH1,SH10,2,UP,2,5.2
TH2,SH10,0.25,UP,2,3.2
TH2,SH10,0.5,UP,2,4
TH2,SH10,0.75,UP,2,4.2
TH2,SH10,1,UP,2,4.5
TH2,SH10,1.5,UP,2,5.5
TH2,SH10,2,UP,2,6
T1,SH10,0.25,UP,2,3.5
T1,SH10,0.5,UP,2,4.1
T1,SH10,0.75,UP,2,4.1
T1,SH10,1,UP,2,4.1
T1,SH10,1.5,UP,2,4.5
T1,SH10,2,UP,2,5.1
TH1,SH10,0.25,UP,2,3
TH1,SH10,0.5,UP,2,3.5
TH1,SH10,0.75,UP,2,3.8
TH1,SH10,1,UP,2,4
TH1,SH10,1.5,UP,2,4.5
TH1,SH10,2,UP,2,5.2
TH2,SH10,0.25,UP,2,3.2
TH2,SH10,0.5,UP,2,4
TH2,SH10,0.75,UP,2,4.2
TH2,SH10,1,UP,2,4.5
TH2,SH10,1.5,UP,2,5.5
TH2,SH10,2,UP,2,6
T1,SH10,0.25,UP,2,3.5
T1,SH10,0.5,UP,2,4.1
T1,SH10,0.75,UP,2,4.1
T1,SH10,1,UP,2,4.1
T1,SH10,1.5,UP,2,4.5
T1,SH10,2,UP,2,5.1
TH1,SH10,0.25,UP,2,3
TH1,SH10,0.5,UP,2,3.5
TH1,SH10,0.75,UP,2,3.8
TH1,SH10,1,UP,2,4
TH1,SH10,1.5,UP,2,4.5
TH1,SH10,2,UP,2,5.2
TH2,SH10,0.25,UP,2,3.2
TH2,SH10,0.5,UP,2,4
TH2,SH10,0.75,UP,2,4.2
TH2,SH10,1,UP,2,4.5
TH2,SH10,1.5,UP,2,5.5
TH2,SH10,2,UP,2,6
T1,SH10,0.25,UP,2,3.5
T1,SH10,0.5,UP,2,4.1
T1,SH10,0.75,UP,2,4.1
T1,SH10,1,UP,2,4.1
T1,SH10,1.5,UP,2,4.5
T1,SH10,2,UP,2,5.1
TH1,SH10,0.25,UP,2,3
TH1,SH10,0.5,UP,2,3.5
TH1,SH10,0.75,UP,2,3.8
TH1,SH10,1,UP,2,4
TH1,SH10,1.5,UP,2,4.5
TH1,SH10,2,UP,2,5.2
TH2,SH10,0.25,UP,2,3.2
TH2,SH10,0.5,UP,2,4
TH2,SH10,0.75,UP,2,4.2
TH2,SH10,1,UP,2,4.5
TH2,SH10,1.5,UP,2,5.5
TH2,SH10,2,UP,2,6
T1,SH10,0.25,UP,2,3.5
T1,SH10,0.5,UP,2,4.1
T1,SH10,0.75,UP,2,4.1
T1,SH10,1,UP,2,4.1
T1,SH10,1.5,UP,2,4.5
T1,SH10,2,UP,2,5.1
TH1,SH10,0.25,UP,2,3
TH1,SH10,0.5,UP,2,3.5
TH1,SH10,0.75,UP,2,3.8
TH1,SH10,1,UP,2,4
TH1,SH10,1.5,UP,2,4.5
TH1,SH10,2,UP,2,5.2
TH2,SH10,0.25,UP,2,3.2
TH2,SH10,0.5,UP,2,4
TH2,SH10,0.75,UP,2,4.2
TH2,SH10,1,UP,2,4.5
TH2,SH10,1.5,UP,2,5.5
TH2,SH10,2,UP,2,6
T1,SH10,0.25,UP,2,3.5
T1,SH10,0.5,UP,2,4.1
T1,SH10,0.75,UP,2,4.1
T1,SH10,1,UP,2,4.1
T1,SH10,1.5,UP,2,4.5
T1,SH10,2,UP,2,5.1
TH1,SH10,0.25,UP,2,3
TH1,SH10,0.5,UP,2,3.5
TH1,SH10,0.75,UP,2,3.8
TH1,SH10,1,UP,2,4
TH1,SH10,1.5,UP,2,4.5
TH1,SH10,2,UP,2,5.2
TH2,SH10,0.25,UP,2,3.2
TH2,SH10,0.5,UP,2,4
TH2,SH10,0.75,UP,2,4.2
TH2,SH10,1,UP,2,4.5
TH2,SH10,1.5,UP,2,5.5
TH2,SH10,2,UP,2,6
T1,SH11,0.25,BD,2,2.5
T1,SH11,0.5,BD,2,3
T1,SH11,1,BD,2,4
T1,SH11,1.5,BD,2,4.5
T1,SH11,2,BD,2,5
TH1,SH11,0.25,BD,2,3
TH1,SH11,0.5,BD,2,3.7
TH1,SH11,1,BD,2,4
TH1,SH11,1.5,BD,2,4.5
TH1,SH11,2,BD,2,5
TH2,SH11,0.25,BD,2,3
TH2,SH11,0.5,BD,2,3.7
TH2,SH11,1,BD,2,4
TH2,SH11,1.5,BD,2,4.5
TH2,SH11,2,BD,2,5
T1,SH11,0.25,BD,2,2.5
T1,SH11,0.5,BD,2,3
T1,SH11,1,BD,2,4
T1,SH11,1.5,BD,2,4.5
T1,SH11,2,BD,2,5
TH1,SH11,0.25,BD,2,3
TH1,SH11,0.5,BD,2,3.7
TH1,SH11,1,BD,2,4
TH1,SH11,1.5,BD,2,4.5
TH1,SH11,2,BD,2,5
TH2,SH11,0.25,BD,2,3
TH2,SH11,0.5,BD,2,3.7
TH2,SH11,1,BD,2,4
TH2,SH11,1.5,BD,2,4.5
TH2,SH11,2,BD,2,5
T1,SH11,0.25,BD,2,2.5
T1,SH11,0.5,BD,2,3
T1,SH11,1,BD,2,4
T1,SH11,1.5,BD,2,4.5
T1,SH11,2,BD,2,5
TH1,SH11,0.25,BD,2,3
TH1,SH11,0.5,BD,2,3.7
TH1,SH11,1,BD,2,4
TH1,SH11,1.5,BD,2,4.5
TH1,SH11,2,BD,2,5
TH2,SH11,0.25,BD,2,3
TH2,SH11,0.5,BD,2,3.7
TH2,SH11,1,BD,2,4
TH2,SH11,1.5,BD,2,4.5
TH2,SH11,2,BD,2,5
T1,SH11,0.25,CHR,2,2.5
T1,SH11,0.5,CHR,2,3
T1,SH11,1,CHR,2,3.5
T1,SH11,1.5,CHR,2,4
T1,SH11,2,CHR,2,4.5
TH1,SH11,0.25,CHR,2,2
TH1,SH11,0.5,CHR,2,2.8
TH1,SH11,1,CHR,2,3
TH1,SH11,1.5,CHR,2,3.2
TH1,SH11,2,CHR,2,4.2
TH2,SH11,0.25,CHR,2,2.8
TH2,SH11,0.5,CHR,2,3.7
TH2,SH11,1,CHR,2,4
TH2,SH11,1.5,CHR,2,4.5
TH2,SH11,2,CHR,2,5.5
T1,SH11,0.25,CHR,2,2.5
T1,SH11,0.5,CHR,2,3
T1,SH11,1,CHR,2,3.5
T1,SH11,1.5,CHR,2,4
T1,SH11,2,CHR,2,4.5
TH1,SH11,0.25,CHR,2,2
TH1,SH11,0.5,CHR,2,2.8
TH1,SH11,1,CHR,2,3
TH1,SH11,1.5,CHR,2,3.2
TH1,SH11,2,CHR,2,4.2
TH2,SH11,0.25,CHR,2,2.8
TH2,SH11,0.5,CHR,2,3.7
TH2,SH11,1,CHR,2,4
TH2,SH11,1.5,CHR,2,4.5
TH2,SH11,2,CHR,2,5.5
T1,SH11,0.25,CHR,2,2.5
T1,SH11,0.5,CHR,2,3
T1,SH11,1,CHR,2,3.5
T1,SH11,1.5,CHR,2,4
T1,SH11,2,CHR,2,4.5
TH1,SH11,0.25,CHR,2,2
TH1,SH11,0.5,CHR,2,2.8
TH1,SH11,1,CHR,2,3
TH1,SH11,1.5,CHR,2,3.2
TH1,SH11,2,CHR,2,4.2
TH2,SH11,0.25,CHR,2,2.8
TH2,SH11,0.5,CHR,2,3.7
TH2,SH11,1,CHR,2,4
TH2,SH11,1.5,CHR,2,4.5
TH2,SH11,2,CHR,2,5.5
T1,SH11,0.25,UP,2,2.5
T1,SH11,0.5,UP,2,3
T1,SH11,1,UP,2,4
T1,SH11,1.5,UP,2,4.5
T1,SH11,2,UP,2,5
TH1,SH11,0.25,UP,2,3
TH1,SH11,0.5,UP,2,3.7
TH1,SH11,1,UP,2,4
TH1,SH11,1.5,UP,2,4.5
TH1,SH11,2,UP,2,5
TH2,SH11,0.25,UP,2,3
TH2,SH11,0.5,UP,2,3.7
TH2,SH11,1,UP,2,4
TH2,SH11,1.5,UP,2,4.5
TH2,SH11,2,UP,2,5
T1,SH11,0.25,UP,2,2.5
T1,SH11,0.5,UP,2,3
T1,SH11,1,UP,2,4
T1,SH11,1.5,UP,2,4.5
T1,SH11,2,UP,2,5
TH1,SH11,0.25,UP,2,3
TH1,SH11,0.5,UP,2,3.7
TH1,SH11,1,UP,2,4
TH1,SH11,1.5,UP,2,4.5
TH1,SH11,2,UP,2,5
TH2,SH11,0.25,UP,2,3
TH2,SH11,0.5,UP,2,3.7
TH2,SH11,1,UP,2,4
TH2,SH11,1.5,UP,2,4.5
TH2,SH11,2,UP,2,5
T1,SH11,0.25,UP,2,2.5
T1,SH11,0.5,UP,2,3
T1,SH11,1,UP,2,4
T1,SH11,1.5,UP,2,4.5
T1,SH11,2,UP,2,5
TH1,SH11,0.25,UP,2,3
TH1,SH11,0.5,UP,2,3.7
TH1,SH11,1,UP,2,4
TH1,SH11,1.5,UP,2,4.5
TH1,SH11,2,UP,2,5
TH2,SH11,0.25,UP,2,3
TH2,SH11,0.5,UP,2,3.7
TH2,SH11,1,UP,2,4
TH2,SH11,1.5,UP,2,4.5
TH2,SH11,2,UP,2,5
T1,SH11,0.25,BD,2,2.5
T1,SH11,0.5,BD,2,3
T1,SH11,1,BD,2,3.5
T1,SH11,1.5,BD,2,4
T1,SH11,2,BD,2,4.5
TH1,SH11,0.25,BD,2,2
TH1,SH11,0.5,BD,2,2.8
TH1,SH11,1,BD,2,3
TH1,SH11,1.5,BD,2,3.2
TH1,SH11,2,BD,2,4.2
TH2,SH11,0.25,BD,2,2.8
TH2,SH11,0.5,BD,2,3.7
TH2,SH11,1,BD,2,4
TH2,SH11,1.5,BD,2,4.5
TH2,SH11,2,BD,2,5.5
T1,SH11,0.25,BD,2,2.5
T1,SH11,0.5,BD,2,3
T1,SH11,1,BD,2,3.5
T1,SH11,1.5,BD,2,4
T1,SH11,2,BD,2,4.5
TH1,SH11,0.25,BD,2,2
TH1,SH11,0.5,BD,2,2.8
TH1,SH11,1,BD,2,3
TH1,SH11,1.5,BD,2,3.2
TH1,SH11,2,BD,2,4.2
TH2,SH11,0.25,BD,2,2.8
TH2,SH11,0.5,BD,2,3.7
TH2,SH11,1,BD,2,4
TH2,SH11,1.5,BD,2,4.5
TH2,SH11,2,BD,2,5.5
T1,SH11,0.25,BD,2,2.5
T1,SH11,0.5,BD,2,3
T1,SH11,1,BD,2,3.5
T1,SH11,1.5,BD,2,4
T1,SH11,2,BD,2,4.5
TH1,SH11,0.25,BD,2,2
TH1,SH11,0.5,BD,2,2.8
TH1,SH11,1,BD,2,3
TH1,SH11,1.5,BD,2,3.2
TH1,SH11,2,BD,2,4.2
TH2,SH11,0.25,BD,2,2.8
TH2,SH11,0.5,BD,2,3.7
TH2,SH11,1,BD,2,4
TH2,SH11,1.5,BD,2,4.5
TH2,SH11,2,BD,2,5.5
T1,SH11,0.25,CHR,2,2.5
T1,SH11,0.5,CHR,2,3
T1,SH11,1,CHR,2,3.5
T1,SH11,1.5,CHR,2,4
T1,SH11,2,CHR,2,4.5
TH1,SH11,0.25,CHR,2,2
TH1,SH11,0.5,CHR,2,2.8
TH1,SH11,1,CHR,2,3
TH1,SH11,1.5,CHR,2,3.2
TH1,SH11,2,CHR,2,4.2
TH2,SH11,0.25,CHR,2,2.8
TH2,SH11,0.5,CHR,2,3.7
TH2,SH11,1,CHR,2,4
TH2,SH11,1.5,CHR,2,4.5
TH2,SH11,2,CHR,2,5.5
T1,SH11,0.25,CHR,2,2.5
T1,SH11,0.5,CHR,2,3
T1,SH11,1,CHR,2,3.5
T1,SH11,1.5,CHR,2,4
T1,SH11,2,CHR,2,4.5
TH1,SH11,0.25,CHR,2,2
TH1,SH11,0.5,CHR,2,2.8
TH1,SH11,1,CHR,2,3
TH1,SH11,1.5,CHR,2,3.2
TH1,SH11,2,CHR,2,4.2
TH2,SH11,0.25,CHR,2,2.8
TH2,SH11,0.5,CHR,2,3.7
TH2,SH11,1,CHR,2,4
TH2,SH11,1.5,CHR,2,4.5
TH2,SH11,2,CHR,2,5.5
T1,SH11,0.25,CHR,2,2.5
T1,SH11,0.5,CHR,2,3
T1,SH11,1,CHR,2,3.5
T1,SH11,1.5,CHR,2,4
T1,SH11,2,CHR,2,4.5
TH1,SH11,0.25,CHR,2,2
TH1,SH11,0.5,CHR,2,2.8
TH1,SH11,1,CHR,2,3
TH1,SH11,1.5,CHR,2,3.2
TH1,SH11,2,CHR,2,4.2
TH2,SH11,0.25,CHR,2,2.8
TH2,SH11,0.5,CHR,2,3.7
TH2,SH11,1,CHR,2,4
TH2,SH11,1.5,CHR,2,4.5
TH2,SH11,2,CHR,2,5.5
T1,SH11,0.25,UP,2,2.5
T1,SH11,0.5,UP,2,3
T1,SH11,1,UP,2,3.5
T1,SH11,1.5,UP,2,4
T1,SH11,2,UP,2,4.5
TH1,SH11,0.25,UP,2,2
TH1,SH11,0.5,UP,2,2.8
TH1,SH11,1,UP,2,3
TH1,SH11,1.5,UP,2,3.2
TH1,SH11,2,UP,2,4.2
TH2,SH11,0.25,UP,2,2.8
TH2,SH11,0.5,UP,2,3.7
TH2,SH11,1,UP,2,4
TH2,SH11,1.5,UP,2,4.5
TH2,SH11,2,UP,2,5.5
T1,SH11,0.25,UP,2,2.5
T1,SH11,0.5,UP,2,3
T1,SH11,1,UP,2,3.5
T1,SH11,1.5,UP,2,4
T1,SH11,2,UP,2,4.5
TH1,SH11,0.25,UP,2,2
TH1,SH11,0.5,UP,2,2.8
TH1,SH11,1,UP,2,3
TH1,SH11,1.5,UP,2,3.2
TH1,SH11,2,UP,2,4.2
TH2,SH11,0.25,UP,2,2.8
TH2,SH11,0.5,UP,2,3.7
TH2,SH11,1,UP,2,4
TH2,SH11,1.5,UP,2,4.5
TH2,SH11,2,UP,2,5.5
T1,SH11,0.25,UP,2,2.5
T1,SH11,0.5,UP,2,3
T1,SH11,1,UP,2,3.5
T1,SH11,1.5,UP,2,4
T1,SH11,2,UP,2,4.5
TH1,SH11,0.25,UP,2,2
TH1,SH11,0.5,UP,2,2.8
TH1,SH11,1,UP,2,3
TH1,SH11,1.5,UP,2,3.2
TH1,SH11,2,UP,2,4.2
TH2,SH11,0.25,UP,2,2.8
TH2,SH11,0.5,UP,2,3.7
TH2,SH11,1,UP,2,4
TH2,SH11,1.5,UP,2,4.5
TH2,SH11,2,UP,2,5.5
T1,SH11,0.25,BD,2,3.5
T1,SH11,0.5,BD,2,4.1
T1,SH11,0.75,BD,2,4.1
T1,SH11,1,BD,2,4.1
T1,SH11,1.5,BD,2,4.5
T1,SH11,2,BD,2,5.1
TH1,SH11,0.25,BD,2,3
TH1,SH11,0.5,BD,2,3.5
TH1,SH11,0.75,BD,2,3.8
TH1,SH11,1,BD,2,4
TH1,SH11,1.5,BD,2,4.5
TH1,SH11,2,BD,2,5.2
TH2,SH11,0.25,BD,2,3.2
TH2,SH11,0.5,BD,2,4
TH2,SH11,0.75,BD,2,4.2
TH2,SH11,1,BD,2,4.5
TH2,SH11,1.5,BD,2,5.5
TH2,SH11,2,BD,2,6
T1,SH11,0.25,BD,2,3.5
T1,SH11,0.5,BD,2,4.1
T1,SH11,0.75,BD,2,4.1
T1,SH11,1,BD,2,4.1
T1,SH11,1.5,BD,2,4.5
T1,SH11,2,BD,2,5.1
TH1,SH11,0.25,BD,2,3
TH1,SH11,0.5,BD,2,3.5
TH1,SH11,0.75,BD,2,3.8
TH1,SH11,1,BD,2,4
TH1,SH11,1.5,BD,2,4.5
TH1,SH11,2,BD,2,5.2
TH2,SH11,0.25,BD,2,3.2
TH2,SH11,0.5,BD,2,4
TH2,SH11,0.75,BD,2,4.2
TH2,SH11,1,BD,2,4.5
TH2,SH11,1.5,BD,2,5.5
TH2,SH11,2,BD,2,6
T1,SH11,0.25,BD,2,3.5
T1,SH11,0.5,BD,2,4.1
T1,SH11,0.75,BD,2,4.1
T1,SH11,1,BD,2,4.1
T1,SH11,1.5,BD,2,4.5
T1,SH11,2,BD,2,5.1
TH1,SH11,0.25,BD,2,3
TH1,SH11,0.5,BD,2,3.5
TH1,SH11,0.75,BD,2,3.8
TH1,SH11,1,BD,2,4
TH1,SH11,1.5,BD,2,4.5
TH1,SH11,2,BD,2,5.2
TH2,SH11,0.25,BD,2,3.2
TH2,SH11,0.5,BD,2,4
TH2,SH11,0.75,BD,2,4.2
TH2,SH11,1,BD,2,4.5
TH2,SH11,1.5,BD,2,5.5
TH2,SH11,2,BD,2,6
T1,SH11,0.25,CHR,2,3.5
T1,SH11,0.5,CHR,2,4.1
T1,SH11,0.75,CHR,2,4.1
T1,SH11,1,CHR,2,4.1
T1,SH11,1.5,CHR,2,4.5
T1,SH11,2,CHR,2,5.1
TH1,SH11,0.25,CHR,2,3
TH1,SH11,0.5,CHR,2,3.5
TH1,SH11,0.75,CHR,2,3.8
TH1,SH11,1,CHR,2,4
TH1,SH11,1.5,CHR,2,4.5
TH1,SH11,2,CHR,2,5.2
TH2,SH11,0.25,CHR,2,3.2
TH2,SH11,0.5,CHR,2,4
TH2,SH11,0.75,CHR,2,4.2
TH2,SH11,1,CHR,2,4.5
TH2,SH11,1.5,CHR,2,5.5
TH2,SH11,2,CHR,2,6
T1,SH11,0.25,CHR,2,3.5
T1,SH11,0.5,CHR,2,4.1
T1,SH11,0.75,CHR,2,4.1
T1,SH11,1,CHR,2,4.1
T1,SH11,1.5,CHR,2,4.5
T1,SH11,2,CHR,2,5.1
TH1,SH11,0.25,CHR,2,3
TH1,SH11,0.5,CHR,2,3.5
TH1,SH11,0.75,CHR,2,3.8
TH1,SH11,1,CHR,2,4
TH1,SH11,1.5,CHR,2,4.5
TH1,SH11,2,CHR,2,5.2
TH2,SH11,0.25,CHR,2,3.2
TH2,SH11,0.5,CHR,2,4
TH2,SH11,0.75,CHR,2,4.2
TH2,SH11,1,CHR,2,4.5
TH2,SH11,1.5,CHR,2,5.5
TH2,SH11,2,CHR,2,6
T1,SH11,0.25,CHR,2,3.5
T1,SH11,0.5,CHR,2,4.1
T1,SH11,0.75,CHR,2,4.1
T1,SH11,1,CHR,2,4.1
T1,SH11,1.5,CHR,2,4.5
T1,SH11,2,CHR,2,5.1
TH1,SH11,0.25,CHR,2,3
TH1,SH11,0.5,CHR,2,3.5
TH1,SH11,0.75,CHR,2,3.8
TH1,SH11,1,CHR,2,4
